unix,date,symbol,open,high,low,close,Volume BTC,Volume USD
1629806400,2021-08-24 12:00:00,BTC/USD,49481.12,49481.61,49045.00,49348.18,129.62628404,6396821.197537047
1629802800,2021-08-24 11:00:00,BTC/USD,49264.42,49483.20,49102.22,49458.05,40.75376362,2015601.6788061413
1629799200,2021-08-24 10:00:00,BTC/USD,49683.30,49856.22,49278.58,49311.73,40.83462257,2013625.8828237462
1629795600,2021-08-24 09:00:00,BTC/USD,49724.94,49765.42,49537.29,49627.10,34.19379754,1696939.0098973338
1629792000,2021-08-24 08:00:00,BTC/USD,49805.95,49891.95,49576.07,49726.90,66.31096278,3297438.615064782
1629788400,2021-08-24 07:00:00,BTC/USD,49813.19,49893.50,49667.91,49789.65,69.13582960,3442248.75824364
1629784800,2021-08-24 06:00:00,BTC/USD,49587.74,49852.35,49526.14,49807.49,53.30821454,2655148.3626189046
1629781200,2021-08-24 05:00:00,BTC/USD,49521.19,49666.29,49462.02,49587.74,43.77441946,2170674.5308334203
1629777600,2021-08-24 04:00:00,BTC/USD,49355.66,49594.72,49207.31,49500.00,31.06700214,1537816.60593
1629774000,2021-08-24 03:00:00,BTC/USD,49195.62,49400.01,49174.79,49352.00,71.15479342,3511631.3648638404
1629770400,2021-08-24 02:00:00,BTC/USD,48961.92,49238.67,48961.87,49224.43,22.23778139,1094642.1133873577
1629766800,2021-08-24 01:00:00,BTC/USD,49169.63,49268.01,48765.00,49001.44,106.28900418,5208314.26098602
1629763200,2021-08-24 00:00:00,BTC/USD,49516.08,49698.23,49007.33,49226.42,94.91287138,4672220.86995786
1629759600,2021-08-23 23:00:00,BTC/USD,49655.18,49742.50,49480.96,49561.37,37.29590264,1848436.0302250169
1629756000,2021-08-23 22:00:00,BTC/USD,49568.67,49686.24,49422.60,49680.99,39.61083191,1967905.3440123908
1629752400,2021-08-23 21:00:00,BTC/USD,49533.97,49621.53,49352.66,49591.52,61.83090942,3066288.781120118
1629748800,2021-08-23 20:00:00,BTC/USD,49239.40,49550.00,49010.00,49550.00,88.76208893,4398161.5064815
1629745200,2021-08-23 19:00:00,BTC/USD,49451.84,49464.51,49066.39,49228.63,147.92687494,7282237.393477532
1629741600,2021-08-23 18:00:00,BTC/USD,49438.95,49627.08,49387.88,49466.65,44.24014137,2188411.5891003106
1629738000,2021-08-23 17:00:00,BTC/USD,49689.36,49802.05,49411.35,49434.45,37.72336325,1864833.7144139623
1629734400,2021-08-23 16:00:00,BTC/USD,49557.56,49738.38,49352.99,49701.71,142.79267814,7097040.279037619
1629730800,2021-08-23 15:00:00,BTC/USD,49741.60,49926.04,49305.77,49544.26,132.92234138,6585539.04113948
1629727200,2021-08-23 14:00:00,BTC/USD,50177.25,50365.88,49661.72,49748.40,204.27999826,10162603.065437784
1629723600,2021-08-23 13:00:00,BTC/USD,50326.81,50326.81,50093.31,50198.33,138.57588457,6956277.983686768
1629720000,2021-08-23 12:00:00,BTC/USD,50423.16,50507.39,50263.10,50306.51,61.53588458,3095655.592982616
1629716400,2021-08-23 11:00:00,BTC/USD,50275.00,50516.91,50141.85,50427.11,132.18872548,6665895.400539762
1629712800,2021-08-23 10:00:00,BTC/USD,50332.34,50562.11,50049.90,50275.89,170.83614780,8588939.37481654
1629709200,2021-08-23 09:00:00,BTC/USD,50274.32,50407.87,50184.13,50333.11,72.43918734,3646089.5846948274
1629705600,2021-08-23 08:00:00,BTC/USD,50182.41,50300.00,50104.37,50288.45,72.72230452,3657091.9747387934
1629702000,2021-08-23 07:00:00,BTC/USD,50190.39,50221.09,50039.09,50162.94,46.62608573,2338901.540908846
1629698400,2021-08-23 06:00:00,BTC/USD,50272.51,50417.92,50001.05,50201.06,73.11779642,3670590.8851482053
1629694800,2021-08-23 05:00:00,BTC/USD,50336.48,50466.77,50208.01,50239.95,150.39710255,7555942.912256872
1629691200,2021-08-23 04:00:00,BTC/USD,50306.92,50424.95,50040.30,50310.40,98.11755827,4936333.603587008
1629687600,2021-08-23 03:00:00,BTC/USD,50136.80,50438.00,49909.15,50300.95,150.38379840,7564447.924128479
1629684000,2021-08-23 02:00:00,BTC/USD,49893.47,50270.00,49650.62,50085.16,140.63156533,7043554.450603504
1629680400,2021-08-23 01:00:00,BTC/USD,49474.16,49970.00,49382.02,49885.58,120.07063881,5989793.45800736
1629676800,2021-08-23 00:00:00,BTC/USD,49296.71,49493.46,49125.00,49474.16,54.84033702,2713179.6081814035
1629673200,2021-08-22 23:00:00,BTC/USD,49339.00,49540.01,49216.70,49301.86,47.39768466,2336794.0134314676
1629669600,2021-08-22 22:00:00,BTC/USD,48718.69,49334.09,48690.34,49331.62,40.10112153,1978253.2888917788
1629666000,2021-08-22 21:00:00,BTC/USD,48425.07,48784.43,48287.06,48736.48,31.38506923,1529597.7988265106
1629662400,2021-08-22 20:00:00,BTC/USD,48678.31,48678.31,48299.15,48425.07,26.48325827,1282453.635552829
1629658800,2021-08-22 19:00:00,BTC/USD,48400.00,48723.52,48387.40,48692.21,13.27815057,646542.4959660596
1629655200,2021-08-22 18:00:00,BTC/USD,48703.68,48706.41,48219.10,48417.86,30.96575192,1499295.4412572912
1629651600,2021-08-22 17:00:00,BTC/USD,48691.15,48786.93,48513.22,48731.69,16.52531938,805306.7411771521
1629648000,2021-08-22 16:00:00,BTC/USD,48569.00,48871.04,48410.44,48658.41,50.43769676,2454218.1284037516
1629644400,2021-08-22 15:00:00,BTC/USD,48257.17,48565.54,48080.17,48565.54,149.44058870,7257662.888133398
1629640800,2021-08-22 14:00:00,BTC/USD,48920.86,48983.83,48238.94,48298.08,75.71129184,3656710.0301916674
1629637200,2021-08-22 13:00:00,BTC/USD,48907.01,49044.39,48700.00,48935.84,144.70289559,7081157.746128945
1629633600,2021-08-22 12:00:00,BTC/USD,49177.12,49228.34,48882.93,48929.82,37.65818009,1842607.9733312838
1629630000,2021-08-22 11:00:00,BTC/USD,49181.71,49246.02,49082.36,49164.84,13.84739026,680804.7265504583
1629626400,2021-08-22 10:00:00,BTC/USD,49278.46,49505.86,49136.22,49136.22,42.05628941,2066487.08883343
1629622800,2021-08-22 09:00:00,BTC/USD,49076.98,49321.72,49063.37,49272.82,22.76376182,1121634.7386797324
1629619200,2021-08-22 08:00:00,BTC/USD,49250.45,49328.33,48969.98,49059.18,44.57661335,2186892.0981280534
