	date	bitcoin_unscaled	bitcoin_monthly	scale	bitcoin
315	2021-06-12	56	55.0	0.55	30.800000000000004
316	2021-06-13	59	41.0	0.41	24.189999999999998
317	2021-06-14	75	41.0	0.41	30.749999999999996
318	2021-06-15	61	41.0	0.41	25.009999999999998
319	2021-06-16	55	41.0	0.41	22.549999999999997
320	2021-06-17	50	41.0	0.41	20.5
321	2021-06-18	51	41.0	0.41	20.91
322	2021-06-19	47	41.0	0.41	19.27
323	2021-06-20	51	49.0	0.49	24.99
324	2021-06-21	75	49.0	0.49	36.75
325	2021-06-22	100	49.0	0.49	49.0
326	2021-06-23	72	49.0	0.49	35.28
327	2021-06-24	60	49.0	0.49	29.4
328	2021-06-25	62	49.0	0.49	30.38
329	2021-06-26	56	49.0	0.49	27.439999999999998
330	2021-06-27	54	36.0	0.36	19.439999999999998
331	2021-06-28	55	36.0	0.36	19.8
332	2021-06-29	54	36.0	0.36	19.439999999999998
333	2021-06-30	49	36.0	0.36	17.64
334	2021-07-01	62	36.0	0.36	22.32
335	2021-07-02	59	36.0	0.36	21.24
336	2021-07-03	55	36.0	0.36	19.8
337	2021-07-04	58	29.0	0.29	16.82
338	2021-07-05	60	29.0	0.29	17.4
339	2021-07-06	54	29.0	0.29	15.659999999999998
340	2021-07-07	53	29.0	0.29	15.37
341	2021-07-08	56	29.0	0.29	16.24
342	2021-07-09	53	29.0	0.29	15.37
343	2021-07-10	48	29.0	0.29	13.919999999999998
344	2021-07-11	47	28.0	0.28	13.160000000000002
345	2021-07-12	53	28.0	0.28	14.840000000000002
346	2021-07-13	52	28.0	0.28	14.560000000000002
347	2021-07-14	55	28.0	0.28	15.400000000000002
348	2021-07-15	55	28.0	0.28	15.400000000000002
349	2021-07-16	56	28.0	0.28	15.680000000000001
350	2021-07-17	52	28.0	0.28	14.560000000000002
351	2021-07-18	48	34.0	0.34	16.32
352	2021-07-19	58	34.0	0.34	19.720000000000002
353	2021-07-20	75	34.0	0.34	25.500000000000004
354	2021-07-21	70	34.0	0.34	23.8
355	2021-07-22	62	34.0	0.34	21.080000000000002
356	2021-07-23	55	34.0	0.34	18.700000000000003
357	2021-07-24	56	34.0	0.34	19.040000000000003
358	2021-07-25	56	38.0	0.38	21.28
359	2021-07-26	100	38.0	0.38	38.0
360	2021-07-27	76	38.0	0.38	28.88
361	2021-07-28	69	38.0	0.38	26.22
362	2021-07-29	64	38.0	0.38	24.32
363	2021-07-30	59	38.0	0.38	22.42
364	2021-07-31	59	38.0	0.38	22.42
365	2021-08-01	82	32.0	0.32	26.240000000000002
366	2021-08-02	79	32.0	0.32	25.28
367	2021-08-03	79	32.0	0.32	25.28
368	2021-08-04	72	32.0	0.32	23.04
369	2021-08-05	78	32.0	0.32	24.96
370	2021-08-06	82	32.0	0.32	26.240000000000002
371	2021-08-07	89	32.0	0.32	28.48
372	2021-08-08	93	36.0	0.36	33.48
373	2021-08-09	100	36.0	0.36	36.0
374	2021-08-10	93	36.0	0.36	33.48
375	2021-08-11	98	36.0	0.36	35.28
376	2021-08-12	90	36.0	0.36	32.4
377	2021-08-13	91	36.0	0.36	32.76
378	2021-08-14	87	36.0	0.36	31.32
379	2021-08-15	81	34.0	0.34	27.540000000000003
380	2021-08-16	84	34.0	0.34	28.560000000000002
381	2021-08-17	82	34.0	0.34	27.880000000000003
382	2021-08-18	82	34.0	0.34	27.880000000000003
383	2021-08-19	75	34.0	0.34	25.500000000000004
384	2021-08-20	82	34.0	0.34	27.880000000000003
385	2021-08-21	84	34.0	0.34	28.560000000000002
386	2021-08-22	79	33.0	0.33	26.07
387	2021-08-23	100	33.0	0.33	33.0
388	2021-08-24	88	33.0	0.33	29.040000000000003
389	2021-08-25	80	33.0	0.33	26.400000000000002
390	2021-08-26	80	33.0	0.33	26.400000000000002
391	2021-08-27	74	33.0	0.33	24.42
392	2021-08-28	69	33.0	0.33	22.77
393	2021-08-29	66	29.0	0.29	19.139999999999997
394	2021-08-30	71	29.0	0.29	20.59
395	2021-08-31	72	29.0	0.29	20.88
